nom_categoria;nom_sub_categoria;des_grupo_dados;cod_orgao_responsavel;nom_orgao_responsavel;nom_conjunto_dados;des_conjunto_dados;txt_url;des_frequencia_atualizacao;dth_ultima_atualizacao;nom_dicionario_dados;des_dicionario_dados;des_tipo_campo;num_ordem
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Itens - Notas de Empenho;Informações sobre os itens das contratações realizadas pelo Senado Federal. Os itens indicam com maior precisão o que está contido no objeto de uma dada contratação, como, por exemplo, um serviço, um posto de mão de obra, instalação ou fornecimento de um equipamento.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarItensPorContratacaoCsv;Diário;17/11/2022;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Licitações;Informações sobre os processos administrativos formais para aquisição de produtos e contratações de obras, serviços e funcionários terceirizados para o Senado Federal.;https://adm.senado.leg.br/adm-dadosabertos/api/v1/contratacoes/licitacoes/csv;Diário;30/12/2025;SITUACAO;Representado por caracteres (C) Texto descrevendo a situação, ato ou fase da licitação realizada, sendo, por exemplo, a HOMOLOGAÇÃO a etapa final da licitação que foi bem-sucedida.;Alfabético;7
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Itens - Atas de Registro de Preço;Informações sobre os itens das contratações realizadas pelo Senado Federal. Os itens indicam com maior precisão o que está contido no objeto de uma dada contratação, como, por exemplo, um serviço, um posto de mão de obra, instalação ou fornecimento de um equipamento.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarItensPorContratacao;Diário;21/11/2022;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Licitações;Informações sobre os processos administrativos formais para aquisição de produtos e contratações de obras, serviços e funcionários terceirizados para o Senado Federal.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarLicitacoes;Diário;28/06/2023;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Aditivos;Dados relacionados aos Termos Aditivos de Contratações do Senado Federal. Termo aditivo é um instrumento firmado pelo Senado com empresa, órgão ou entidade com o intuito de alterar cláusula (s) de uma contratação original (Contrato, Acordo de Cooperação Técnica, Convênio, dentre outros). Por meio da celebração de um termo aditivo, pode-se, por exemplo, alterar cláusulas regulamentares, prorrogar a avença, suprimir ou acrescer o objeto, dentre outros.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarAditivosPorContrato;Diário;23/01/2023;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Contratos;Dados relativos aos Contratos firmados pelo Senado Federal. A definição legal do termo “Contratos” corresponde a “todo e qualquer ajuste entre órgãos ou entidades da Administração Pública e particulares, em que haja um acordo de vontades para a formação de vínculo e a estipulação de obrigações recíprocas, seja qual for a denominação utilizada.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarContratos;Diário;28/06/2023;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Notas de Empenho com Força de Contrato;Dados referentes às notas de empenho com força de contrato firmadas pelo Senado Federal. Casos de compra com entrega imediata e integral dos bens adquiridos, dos quais não resultem obrigações futuras, inclusive assistência técnica, em que existe a possibilidade/faculdade da Administração substituir o contrato por outro instrumento, nesse caso “notas de empenho”, conforme descrito no art. 62, §4° da Lei nº 8.666/93 ou de acordo com o art. 95 da nova Lei de Licitações (Lei nº 14.133/2021).;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarNotasEmpenho;Diário;28/06/2023;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Itens - Contratos;Informações sobre os itens das contratações realizadas pelo Senado Federal. Os itens indicam com maior precisão o que está contido no objeto de uma dada contratação, como, por exemplo, um serviço, um posto de mão de obra, instalação ou fornecimento de um equipamento.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarItensPorContratacaoCsv;Diário;17/11/2022;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Itens - Contratos;Informações sobre os itens das contratações realizadas pelo Senado Federal. Os itens indicam com maior precisão o que está contido no objeto de uma dada contratação, como, por exemplo, um serviço, um posto de mão de obra, instalação ou fornecimento de um equipamento.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarItensPorContratacao;Diário;17/11/2022;;;;None
Administrativo;Contratações;Licitações e Contratos;4997;SECRETARIA DE ADMINISTRAÇÃO DE CONTRATAÇÕES;Atas de Registros de Preços - ARP;Dados referentes às Atas de Registros de Preços (ARP) derivadas de contratações de serviços e a aquisição de bens pelo Senado Federal, quando efetuadas pelo Sistema de Registro de Preços – SRP. De acordo com o contido no inciso II, art. 2º, do Decreto nº 7.892/2013, a ata de registro de preços é o documento vinculativo, obrigacional, com característica de compromisso para futura contratação, em que se registram os preços, fornecedores, órgãos participantes e condições a serem praticadas.;https://adm.senado.gov.br/adm-dadosabertos/swagger-ui/index.html?configUrl=/adm-dadosabertos/swagger-config.json#/Contrata%C3%A7%C3%B5es/buscarAditivosPorContrato;Diário;28/06/2023;;;;None
